title,level,language,subtitles,price,n_enrolled
Italian Language and Culture: Beginner (2019-2020),Introductory,Italiano,Italiano,49,53630.0
Steps in Japanese for Beginners1 Part1,Introductory,English,"English, 日本語",49,306787.0
How to Write an Essay,Introductory,English,English,49,95324.0
Energy Within Environmental Constraints,Introductory,English,English,99,97291.0
Introduction to Probability,Intermediate,English,English,99,102075.0
AnatomyX: Musculoskeletal Cases,Intermediate,English,English,99,88256.0
Data Science: Inference and Modeling,Introductory,English,English,49,58626.0
Strengthening Community Health Worker Programs,Introductory,English,English,79,182295.0
Buddhism Through Its Scriptures,Introductory,English,English,99,642088.0
Introduction to Linux,Introductory,English,English,199,81221.0
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",Introductory,English,English,99,48938.0
Shakespeare's Life and Work,Introductory,English,English,49,112623.0
Marketing Digital: Content & Community Manager,Introductory,Español,Español,49,88243.0
Accounting and Finance,Intermediate,English,"English, हिन्दी",150,141966.0
Computing in Python I: Fundamentals and Procedural Programming,Introductory,English,English,99,51679.0
"Nutrition, Exercise and Sports",Intermediate,English,English,49,104760.0
Becoming an Entrepreneur,Introductory,English,English,69,74060.0
"Religion, Conflict and Peace",Introductory,English,English,49,61139.0
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",Introductory,English,English,49,322701.0
Academic and Business Writing,Introductory,English,English,49,62803.0
Data Science: Capstone,Introductory,English,English,99,37045.0
Basics of Computing and Programming,Introductory,English,English,200,84874.0
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Introductory,English,English,99,31369.0
Successful Negotiation: Essential Strategies and Skills,Introductory,English,English,49,75310.0
Data Science: Linear Regression,Introductory,English,English,49,335895.0
HTML5 and CSS Fundamentals,Introductory,English,English,199,66683.0
Data Science: Productivity Tools,Introductory,English,English,49,98093.0
Introduction to Corporate Finance,Introductory,English,English,225,39540.0
Computer Science 101,Introductory,English,English,149,64584.0
Data Science: Wrangling,Introductory,English,English,49,187138.0
A Hands-on Introduction to Engineering Simulations,Intermediate,English,English,199,49340.0
AI for Everyone: Master the Basics,Introductory,English,English,49,110086.0
The Psychology of Criminal Justice,Introductory,English,English,99,80161.0
Machine Learning with Python: A Practical Introduction,Introductory,English,English,39,94079.0
Analyzing Data with Python,Introductory,English,English,39,111785.0
Excel: gestión de datos,Intermediate,Español,Español,75,85034.0
"Fundamentals of Neuroscience, Part 3: The Brain",Introductory,English,English,99,77991.0
Sikhism Through Its Scriptures,Introductory,English,English,99,96972.0
Upper-Intermediate English: Business and Modern Life,Intermediate,English,English,50,81004.0
Religious Literacy: Traditions and Scriptures,Introductory,English,English,99,78443.0
Programación para todos (empezando con Python),Introductory,Español,Español,49,67029.0
Analyzing and Visualizing Data with Power BI,Introductory,English,English,99,126850.0
High-Dimensional Data Analysis,Advanced,English,English,149,76874.0
Introduction To Music Theory,Introductory,English,English,49,24208.0
Human Anatomy,Introductory,English,English,139,41838.0
"CitiesX: The Past, Present and Future of Urban Life",Introductory,English,"English, Português",99,44045.0
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,Introductory,English,English,99,43766.0
Entrepreneurship 101: Who is your customer?,Introductory,English,English,49,52639.0
"U.S. Public Policy: Social, Economic, and Foreign Policies",Introductory,English,English,49,91788.0
Introduction to Data Science,Introductory,English,English,39,92004.0
Circuits and Electronics 1: Basic Circuit Analysis,Introductory,English,"English, 中文",169,61989.0
Introduction to Investments,Intermediate,English,English,50,23728.0
Improving Your Business Through a Culture of Health,Introductory,English,English,99,119891.0
Introduction to Linear Models and Matrix Algebra,Intermediate,English,English,149,38939.0
DO Your Venture: Entrepreneurship For Everyone,Introductory,English,"English, हिन्दी",150,88789.0
El valor de la creatividad y la innovación: La Economía Naranja,Introductory,Español,Español,25,39184.0
Humanitarian Response to Conflict and Disaster,Introductory,English,English,99,41279.0
"Women Making History: Ten Objects, Many Stories",Introductory,English,English,99,62673.0
Masterpieces of World Literature,Introductory,English,English,149,21613.0
SQL for Data Science,Introductory,English,English,39,70682.0
El cerebro y las emociones en el lenguaje,Introductory,Español,Español,49,37598.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),Introductory,English,English,169,113602.0
Python: aprender a programar,Introductory,Español,Español,49,160112.0
Marketing Analytics: Competitive Analysis and Market Segmentation,Intermediate,English,English,249,113592.0
